"","goldschmidt_TF","goldschmidt_TF_ionic","octahedral_factor","octahedral_factor_ionic","A_O","B_O","A_B"
"1458",0.920219449018,0.837767816841,0.442142857143,0.478571428571,2.6275,2.019,1.8465
"1459",0.962654439154,0.845941161395,0.378571428571,0.464285714286,2.6275,1.93,1.7575
"1460",0.913433169896,0.889322759415,0.452857142857,0.392857142857,2.6275,2.034,1.8615
"1461",0.988256950834,0.829750899933,0.342857142857,0.492857142857,2.6275,1.88,1.7075
"1462",1.02585439758,0.900267657998,0.378571428571,0.464285714286,2.8,1.93,1.93
"1463",1.01533281401,0.913637969751,0.392857142857,0.442857142857,2.8,1.95,1.95
"1464",0.97340166535,0.946435230204,0.452857142857,0.392857142857,2.8,2.034,2.034
"1465",0.980148013526,0.913637969751,0.442857142857,0.442857142857,2.8,2.02,2.02
"1466",0.980633475643,0.891569419757,0.442142857143,0.478571428571,2.8,2.019,2.019
"1467",1.05313775921,0.883037654975,0.342857142857,0.492857142857,2.8,1.88,1.88
"1468",0.92302983092,0.858394743673,0.532142857143,0.535714285714,2.8,2.145,2.145
"1469",0.987480791682,0.918183432287,0.432142857143,0.435714285714,2.8,2.005,2.005
"1470",0.999948983496,0.951313762318,0.414285714286,0.385714285714,2.8,1.98,1.98
"1471",0.91602469381,0.871126395379,0.414285714286,0.385714285714,2.565,1.98,1.745
"1472",0.983878374833,0.975005484368,0.414285714286,0.385714285714,2.755,1.98,1.935
"1473",0.996544271931,0.895093705941,0.378571428571,0.464285714286,2.72,1.93,1.85
"1474",0.98632330504,0.908387176821,0.392857142857,0.442857142857,2.72,1.95,1.87
"1475",0.945590189197,0.940995947271,0.452857142857,0.392857142857,2.72,2.034,1.954
"1476",0.952143784568,0.908387176821,0.442857142857,0.442857142857,2.72,2.02,1.94
"1477",0.952615376338,0.886445457574,0.442142857143,0.478571428571,2.72,2.019,1.939
"1478",1.02304810895,0.877962725923,0.342857142857,0.492857142857,2.72,1.88,1.8
"1479",0.896657550036,0.853461440548,0.532142857143,0.535714285714,2.72,2.145,2.065
"1480",0.959267054777,0.912906516009,0.432142857143,0.435714285714,2.72,2.005,1.925
"1481",0.971379012539,0.945846441845,0.414285714286,0.385714285714,2.72,1.98,1.9
"1482",1.00387180334,0.886470452512,0.378571428571,0.464285714286,2.74,1.93,1.87
"1483",0.978521505278,0.936734241056,0.414285714286,0.385714285714,2.74,1.98,1.92
"1484",0.973645736271,0.876122548397,0.378571428571,0.464285714286,2.6575,1.93,1.7875
"1485",0.963659626156,0.889134269413,0.392857142857,0.442857142857,2.6575,1.95,1.8075
"1486",0.923862473453,0.921051909853,0.452857142857,0.392857142857,2.6575,2.034,1.8915
"1487",0.930265480695,0.889134269413,0.442857142857,0.442857142857,2.6575,2.02,1.8775
"1488",0.930726236257,0.867657596239,0.442142857143,0.478571428571,2.6575,2.019,1.8765
"1489",0.999540569683,0.859354652734,0.342857142857,0.492857142857,2.6575,1.88,1.7375
"1490",0.876054205596,0.835372662425,0.532142857143,0.535714285714,2.6575,2.145,2.0025
"1491",0.93722507282,0.893557822992,0.432142857143,0.435714285714,2.6575,2.005,1.8625
"1492",0.949058722729,0.92579960011,0.414285714286,0.385714285714,2.6575,1.98,1.8375
"1493",1.03135004613,0.895093705941,0.378571428571,0.464285714286,2.815,1.93,1.945
"1494",1.00429141728,0.91747104859,0.415714285714,0.428571428571,2.815,1.982,1.997
"1495",1.01712089374,0.908387176821,0.397857142857,0.442857142857,2.815,1.957,1.972
"1496",0.991287643944,0.929084606167,0.434285714286,0.410714285714,2.815,2.008,2.023
"1497",0.997497163137,0.924404079183,0.425357142857,0.417857142857,2.815,1.9955,2.0105
"1498",0.98491122664,0.935002342512,0.443571428571,0.401785714286,2.815,2.021,2.036
"1499",0.987966541278,0.932626224742,0.439107142857,0.405357142857,2.815,2.01475,2.02975
"1500",0.978616317129,0.940995947271,0.452857142857,0.392857142857,2.815,2.034,2.049
"1501",0.979519266305,0.933812772101,0.451517857143,0.403571428571,2.815,2.032125,2.047125
"1502",0.980423883285,0.926738432919,0.450178571429,0.414285714286,2.815,2.03025,2.04525
"1503",0.982238139176,0.912906516009,0.4475,0.435714285714,2.815,2.0265,2.0415
"1504",0.985886869262,0.886445457574,0.442142857143,0.478571428571,2.815,2.019,2.034
"1505",1.05877956864,0.877962725923,0.342857142857,0.492857142857,2.815,1.88,1.895
"1506",1.00530585305,0.945846441845,0.414285714286,0.385714285714,2.815,1.98,1.995
"1507",0.982360595126,0.948580102081,0.414285714286,0.385714285714,2.75075,1.98,1.93075
"1508",0.984503342947,0.950402542239,0.414285714286,0.385714285714,2.75675,1.98,1.93675
"1509",0.936806094336,0.847857894029,0.458392857143,0.507142857143,2.705,2.04175,1.94675
"1510",0.968467768663,0.85392847561,0.410714285714,0.496428571429,2.705,1.975,1.88
"1511",0.931672597715,0.885633740793,0.466428571429,0.442857142857,2.705,2.053,1.958
"1512",0.987212306121,0.841873014777,0.383928571429,0.517857142857,2.705,1.9375,1.8425
"1513",0.985663998018,0.947668882003,0.414285714286,0.385714285714,2.76,1.98,1.94
"1514",1.00709147624,0.960425963106,0.414285714286,0.385714285714,2.82,1.98,2
"1515",0.965129331392,0.920332279637,0.414285714286,0.385714285714,2.7025,1.98,1.8825
"1516",0.940259969576,0.867384318255,0.453035714286,0.473214285714,2.705,2.03425,1.93925
"1517",0.947361982719,0.86424162145,0.442142857143,0.478571428571,2.705,2.019,1.924
"1518",0.972159513652,0.873738782126,0.405357142857,0.4625,2.705,1.9675,1.8725
"1519",0.935088654661,0.90696078905,0.461071428571,0.408928571429,2.705,2.0455,1.9505
"1520",0.991048623373,0.861121615597,0.378571428571,0.483928571429,2.705,1.93,1.835
"1521",0.999056171904,0.972271824132,0.414285714286,0.385714285714,2.7975,1.98,1.9775
"1522",0.992806490757,0.95769230287,0.414285714286,0.385714285714,2.78,1.98,1.96
"1523",0.996377737126,0.953136202476,0.414285714286,0.385714285714,2.79,1.98,1.97
"1524",0.940259969576,0.867384318255,0.453035714286,0.473214285714,2.705,2.03425,1.93925
"1525",0.972159513652,0.873738782126,0.405357142857,0.4625,2.705,1.9675,1.8725
"1526",0.935088654661,0.90696078905,0.461071428571,0.408928571429,2.705,2.0455,1.9505
"1527",0.991048623373,0.861121615597,0.378571428571,0.483928571429,2.705,1.93,1.835
"1528",0.949007116403,0.870549954454,0.439642857143,0.467857142857,2.705,2.0155,1.9205
"1529",0.981513197234,0.87695105706,0.391964285714,0.457142857143,2.705,1.94875,1.85375
"1530",0.943739406986,0.910422471451,0.447678571429,0.403571428571,2.705,2.02675,1.93175
"1531",1.00077114093,0.86424162145,0.365178571429,0.478571428571,2.705,1.91125,1.81625
"1532",0.981646345852,0.947668882003,0.414285714286,0.385714285714,2.74875,1.98,1.92875
"1533",0.991048623373,0.872673247025,0.378571428571,0.464285714286,2.705,1.93,1.835
"1534",0.940375537419,0.917425721232,0.452857142857,0.392857142857,2.705,2.034,1.939
"1535",1.01740629953,0.8559713667,0.342857142857,0.492857142857,2.705,1.88,1.785
"1536",0.935660434443,0.846854511906,0.460178571429,0.508928571429,2.705,2.04425,1.94925
"1537",0.967243409916,0.852910682432,0.4125,0.498214285714,2.705,1.9775,1.8825
"1538",0.930539451768,0.88453901429,0.468214285714,0.444642857143,2.705,2.0555,1.9605
"1539",0.985940125314,0.840883739789,0.385714285714,0.519642857143,2.705,1.94,1.845
"1540",1.00976991101,0.95769230287,0.414285714286,0.385714285714,2.8275,1.98,2.0075
"1541",0.99829728205,0.959059132988,0.414285714286,0.385714285714,2.795375,1.98,1.975375
"1542",0.999368655961,0.959970353067,0.414285714286,0.385714285714,2.798375,1.98,1.978375
"1543",0.999948983496,0.958603522949,0.414285714286,0.385714285714,2.8,1.98,1.98
"1544",1.01066272261,0.964982063501,0.414285714286,0.385714285714,2.83,1.98,2.01
"1545",0.989681650183,0.944935221766,0.414285714286,0.385714285714,2.77125,1.98,1.95125
"1546",0.971002254007,0.886445457574,0.442142857143,0.478571428571,2.7725,2.019,1.9915
"1547",1.00664507044,0.970904994013,0.414285714286,0.385714285714,2.81875,1.98,1.99875
"1548",1.00352022987,0.963615233382,0.414285714286,0.385714285714,2.81,1.98,1.99
"1549",1.00530585305,0.961337183185,0.414285714286,0.385714285714,2.815,1.98,1.995
"1550",0.997940157413,0.958603522949,0.414285714286,0.385714285714,2.794375,1.98,1.974375
"1551",1.01577904189,0.895093705941,0.378571428571,0.464285714286,2.7725,1.93,1.9025
